,sr_no,client_name,industry,remarks,category,status,priority,set,manager,designer,fb_posting,insta_posting,birthday_wishes,status
200,208,Garg Mobile Gallery,Telecom,DONE,TELECOM,OK,D,71.0,POOJA,JAGRITI,NEHA,NO,GAUTAM,
201,209,Sach Mobile Shoppe,Telecom,DONE,TELECOM,OK,C,71.0,POOJA,JAGRITI,RITU,NO,NEELAM,
202,210,SHIV COMMUNICATION BARELI,Telecom,DONE,TELECOM,OK,C,71.0,POOJA,JAGRITI,,,,
203,211,GOLDEN ENTERPRISES,TELECOM,DONE,TELECOM,OK,,71.0,POOJA,JAGRITI,,,,
204,212,VANSH MOBILE CAFÉ,Telecom,DONE,TELECOM,OK,A,72.0,POOJA,JAGRITI,,,,
205,213,GOYAL BHADRA,Telecom,DONE,TELECOM,OK,D,72.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
206,214,SM DIGITAL,Telecom,DONE,TELECOM,OK,D,72.0,POOJA,JAGRITI,NEHA,NO,NEELAM,
207,216,Karan Mobile World,Telecom,DONE,TELECOM,OK,D,73.0,POOJA,JAGRITI,RITU,NO,NO,
208,217,Sirsa Mall,Telecom,DONE,TELECOM,OK,D,73.0,POOJA,JAGRITI,NEHA,NEHA,NEELAM,
209,403,PHONE XPRESS,TELECOM,,TELECOM,,,73.0,POOJA,KANIKA,,,,
210,218,"MAGIC GALLERY (BHINMAL) RAJ,",Telecom,DONE,TELECOM,OK,C,74.0,POOJA,JAGRITI,,,,
211,219,Telekar Sales,Telecom,DONE,TELECOM,OK,C,74.0,POOJA,JAGRITI,,,,
212,409,SHRI SHYAM INDRAPURAM,TELECOM,,TELECOM,,,74.0,POOJA,KANIKA,,,,
213,220,Banganga Enterprises,Telecom,DONE,TELECOM,OK,D,75.0,POOJA,JAGRITI,NEHA,NO,NO,
214,221,DS New Mobile Point,Telecom,DONE,TELECOM,OK,D,75.0,POOJA,JAGRITI,NO,NO,NO,
215,222,Mobile World Gohana,Telecom,DONE,TELECOM,OK,D,75.0,POOJA,JAGRITI,NO,NO,NO,
216,223,DS Manoj Communication,Telecom,DONE,TELECOM,OK,D,76.0,POOJA,JAGRITI,NO,NO,NO,
217,378,RAJDEEP MOBILES,TELECOM,,TELECOM,,,76.0,POOJA,,,,,
218,381,NETRA ENTERPRISES,TELECOM,,TELECOM,,,76.0,POOJA,,,,,
219,225,HARYANA MOBILE BHATTU,Telecom,DONE,TELECOM,OK,,77.0,POOJA,JAGRITI,,,,
220,143,Unique Mobile Sirsa,Telecom,,TELECOM,OK,B,34.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM,
221,413,SHRI MOBILE AND ELECTRONICS,Telecom and Electronics,,TELECOM,,B,34.0,RIYA ARORA,KANIKA,,,,
222,144,James Mobile ,Telecom,,TELECOM,OK,B,35.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
223,145,Saugat Mobiles,Telecom,,TELECOM,OK,B,35.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
224,146,URMIL COMMUNICATION,Telecom and Electronics,FINAL CALL,TELECOM,OK,B,35.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
225,147,Bagga Communications,Telecom,,TELECOM,OK,B,36.0,RIYA ARORA,KANIKA,NO,NO,NO,
226,148,New Midha Rania,Telecom,,TELECOM,OK,B,36.0,RIYA ARORA,KANIKA,RITU,NO,GAUTAM,
227,149,Shiva Mobile Nohar,Telecom,,TELECOM,OK,B,36.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
228,242,MM Communications Pilibanga (Mittal Mobile),Telecom and Electronics,,TELECOM,OK,B,37.0,RIYA ARORA,KANIKA,RITU,NO,GAUTAM,
229,243,Phone Zone 2.0,Telecom and Electronics,,TELECOM,OK,B,37.0,RIYA ARORA,KANIKA,RITU,NO,NO,
230,244,PARAS COMMUNICATION LOHARU,Telecom,,TELECOM,OK,B,37.0,RIYA ARORA,KANIKA,,,,
231,245,Ambika Mobiles,Telecom,,TELECOM,OK,B,38.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
232,246,Om Mobiles Hisar,Telecom,,TELECOM,OK,B,38.0,RIYA ARORA,KANIKA,,,,
233,247,Raju Web World,Telecom,,TELECOM,OK,B,38.0,RIYA ARORA,KANIKA,RITU,NO,NO ,
234,248,Sachdeva Enterprises,Telecom,,TELECOM,OK,B,39.0,RIYA ARORA,KANIKA,NEHA ,NO ,NEELAM ,
235,249,SHANKAR MOBILE,Telecom,,TELECOM,Ok,B,39.0,RIYA ARORA,KANIKA,NO ,NEHA,NO,
236,250,Shiva Com Gaziabad,Telecom,,TELECOM,OK,B,39.0,RIYA ARORA,KANIKA,NEHA,NO,GAUTAM ,
237,251,SK ENTERPRISES,Telecom,FINAL CALL,TELECOM,OK,B,40.0,RIYA ARORA,KANIKA,NEHA,NEHA,MUSKAN ,
238,252,GUPTA ELECTRONICS YAMUNANAGAR,TELECOM,,TELECOM,OK,B,40.0,RIYA ARORA,KANIKA,,,,
239,411,JAGDAMBA COMMUNICATION ROHTAK,TELECOM,,TELECOM,,B,40.0,RIYA ARORA,KANIKA,,,,
240,412,RM TELECOM DELHI,TELECOM,,TELECOM,,B,40.0,RIYA ARORA,KANIKA,,,,
241,253,JIO MART SIRSA,Telecom,FINAL CALL,TELECOM,OK,B,41.0,RIYA ARORA,KANIKA,,,,
242,374,S H MOBILE WORLD,TELECOM,,TELECOM,,B,41.0,RIYA ARORA,KANIKA,,,,
243,385,SURYA MOBILE SHOPPE,TELECOM,,TELECOM,,B,41.0,RIYA ARORA,KANIKA,,,,
244,401,MOBILE ADDICTION,TELECOM,,TELECOM,,B,41.0,RIYA ARORA,KANIKA,,,,
245,226,RK Invertors,Telecom,DONE,TELECOM,OK,D,77.0,POOJA,JAGRITI,RITU,NO,NEELAM,
246,273,HOTEL CROWN,HOSPITAL,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
247,227,SACHDEVA MOBILE TOHANA,Telecom,DONE,TELECOM,OK,,77.0,POOJA,JAGRITI,,,,
248,275,HR Solutions ,Agency,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
249,277,Majestic Hynudai Fatehabad,Automobiles,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
250,278,MITSUI FERTILIZER,INDUSTRY,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
251,254,GOSWAMI TV CENTER,Telecom and Electronics,,TELECOM,OK,B,42.0,RIYA ARORA,KANIKA,NO,NO,NO,
252,353,MOBILE GALLERY RAJASTHAN,TELECOM,,TELECOM,OK,B,42.0,RIYA ARORA,KANIKA,,,,
253,372,KHALSA COMMUNCATION,TELECOM,,TELECOM,,B,42.0,RIYA ARORA,KANIKA,,,,
254,282,Royal Technologies,CCTV Camera,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
255,283,Sara Jewellers ,Jewellers,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
256,284,Satyam Furniture,Furniture,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
257,285,Shri Balaji Jewellers,Jewellers,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,GAUTAM,
258,287,Sk Traders,industry,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,,
259,288,Social Divine,Social Media Agency,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
260,290,Tulip,Industry,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,ANIRUDH,ANIRUDH,NO,
261,291,Vardhman Jewellers,Jewellers,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,MEHAK,ANIRUDH,PASSWORD ISSUE (MUSKAN),
262,292,CYNOSURE ,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,,,,
263,293,GOLDEN JEWELLERS,Jewellers,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
264,296,CITY ASSOCIATES,Real Estate,DONE,NON TELECOM,NEW,B,0.0,Deepika Bhatti,Nidhi ,,,,
265,298,RAM SINGH AND SONS,NON TELECOM,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,,,,
266,299,SS FITNESS,NON TELECOM,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,,,,
267,228,Choudhary Electo Mart,Telecom and Electronics,DONE,TELECOM,OK,D,78.0,POOJA,JAGRITI,NO,NEHA,NO,
268,229,Marudhar Traders,Telecom,DONE,TELECOM,OK,C,78.0,POOJA,JAGRITI,,,,
269,230,Top Shop,Telecom,DONE,TELECOM,OK,D,78.0,POOJA,JAGRITI,NEHA,NO,MUSKAN,
270,231,Chahat Gift Gallery Tohana,Telecom,DONE,TELECOM,OK,D,79.0,POOJA,JAGRITI,NEHA,NO,MUSKAN,
271,232,DS DG Communication,Telecom,DONE,TELECOM,OK,D,79.0,POOJA,JAGRITI,NO,NO,NO,
272,405,MOBILE AND ELECTRONICS WORLD JODHPUR,TELECOM,,TELECOM,,,79.0,POOJA,,,,,
273,417,SACHIN ENTERPRISE,TELECOM,,TELECOM,,,79.0,POOJA,,,,,
274,379,RAKHI WALA,Telecom,,TELECOM,,B,43.0,RIYA ARORA,KANIKA,,,,
275,234,Chandra Mobiles ,Telecom,DONE,TELECOM,OK,D,80.0,POOJA,JAGRITI,NO,NO,NO,
276,458,SUSHIL TELECOM,TELECOM,,TELECOM,,B,43.0,RIYA ARORA,KANIKA,,,,
277,400,BALAJI SMART LIVING STORE,Telecom and Electronics,,TELECOM,,B,43.0,RIYA ARORA,KANIKA,,,,
278,256,HD COMMUNICATION,TELECOM,,TELECOM,OK,B,100.0,RIYA ARORA,KANIKA,,,,
279,258,Bharat Sales,Samsung Cafe,,TELECOM,OK,B,201.0,RIYA ARORA,KANIKA,RITU,RITU,NEELAM,
280,259,BS Traders Samsung,Samsung Cafe,,TELECOM,OK,B,201.0,RIYA ARORA,KANIKA,NEHA,NEHA,,
281,260,KA Enterprises,Samsung Cafe,,TELECOM,OK,B,201.0,RIYA ARORA,KANIKA,NO,NO,NO,
282,387,JANGRA MOBILE BHIWANI,TELECOM,,TELECOM,,,80.0,POOJA,,,,,
283,393,MOBILE WALA MATHURA,TELECOM,,TELECOM,,,80.0,POOJA,,,,,
284,237,Shri Vinayak Mobiles,Telecom,DONE,TELECOM,OK,C,81.0,POOJA,JAGRITI,NO,NO,NO,
285,261,Rana Enterprises,Samsung Cafe,,TELECOM,OK,B,201.0,RIYA ARORA,KANIKA,NO,NO,NO,
286,262,RR Traders,Samsung Cafe,,TELECOM,OK,B,201.0,RIYA ARORA,KANIKA,NO,NO,NO,
287,388,PRIYA COMMUNICATIONS,TELECOM,,TELECOM,,,81.0,POOJA,,,,,
288,396,DEEP MOBILE SAMALKHA,TELECOM,,TELECOM,,,81.0,POOJA,,,,,
289,263,VERTAX SAMSUNG SMART CAFÉ,Samsung Cafe,,TELECOM,OK,B,202.0,RIYA ARORA,KANIKA,NO,NO,NO,
290,423,VIRENDRA  MOBILE SAMSUNG,Samsung Cafe,FINAL CALL,TELECOM,,B,202.0,RIYA ARORA,KANIKA,,,,
291,238,MOBILE CAFÉ GOA,Telecom,DONE,TELECOM,OK,C,82.0,POOJA,JAGRITI,NO,NO,NO,
292,326,SURYATECH COMPANY,NON TELECOM,DONE,NON TELECOM,NEW,A,0.0,Deepika Bhatti,Nidhi ,,,,
293,265,AM Enterprises,Samsung Cafe,,TELECOM,OK,B,202.0,RIYA ARORA,KANIKA,RITU,RITU,,
294,328,SHREE CONSULTANCY,IMMIGRATION,DONE,NON TELECOM,NEW,C,0.0,Deepika Bhatti,Nidhi ,,,,
295,329,DOLLY KAYA MAKEOVERS,BEAUTY,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
296,239,SANGHI MOBILE,Telecom,DONE,TELECOM,OK,C,82.0,POOJA,JAGRITI,NO,NEHA,NO,
297,267,Samsung Smart Café Fatehabad (Ajanta Enterprises),Samsung Cafe,,TELECOM,OK,B,202.0,RIYA ARORA,KANIKA,NO,NO,NO,
298,268,Smart Tel,Samsung Cafe,,TELECOM,OK,B,202.0,RIYA ARORA,KANIKA,NEHA,NEHA,NO,
299,362,CELL ZONE SAMSUNG,Samsung Cafe,,TELECOM,,B,202.0,RIYA ARORA,KANIKA,,,,
300,414,HARUN MOBILE ,TELECOM,,TELECOM,,,82.0,POOJA,KANIKA,,,,
301,240,A Digi Hub,Telecom,DONE,TELECOM,OK,C,83.0,POOJA,JAGRITI,,,,
302,339,SHRI RAM CROPS,AGRICULTURE,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
303,340,SDB AUTOMOBILES,AUTOMOBILES,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
304,269,LAKSHAY ENETRPRISES,Samsung Cafe,,TELECOM,OK,B,203.0,RIYA ARORA,KANIKA,NEHA,NO,NO,
305,270,Mobile Shoppe Samsung Jodhpur,Samsung Cafe,,TELECOM,OK,B,203.0,RIYA ARORA,KANIKA,,,,
306,241,Chawla Mobiles ,Telecom,DONE,TELECOM,OK,C,83.0,POOJA,JAGRITI,,,,
307,344,RADHE RADHE DELHI,Distributor,DONE,TELECOM,OK,B,0.0,ARCHNA,GURKARAN,NO,NO,NO,35
308,279,MOBILE STORE SAMSUNG,Samsung Cafe,,TELECOM,OK,B,203.0,RIYA ARORA,KANIKA,NEHA,NEHA,NO,
309,271,Mobile Place Loharu,Telecom,DONE,TELECOM,OK,C,83.0,POOJA,JAGRITI,,,,
310,349,ILLAHI COLLECTION ,BOUTIQUE,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
311,280,VAISHNAVI SAMSUNG,Samsung Cafe,,TELECOM,OK,B,203.0,RIYA ARORA,KANIKA,,,,
312,281,SWASTIK COMMUNICATION SAMSUNG ,Samsung Cafe,,TELECOM,OK,B,203.0,RIYA ARORA,KANIKA,,,,
313,307,APPORVA SAMSUNG PUNE,Samsung Cafe,,TELECOM,OK,B,203.0,RIYA ARORA,KANIKA,,,,
314,354,SAMSUNG INDIA ,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,,,,LIST PENDING
315,355,REALME HARYANA,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,NO,NO,NO,1600
316,356,REDMI SONIPAT,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,NO,NO,NO,40
317,357,BAJAJ FINSERV RAJASTHAN,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,NO,NO,NO,650
318,358,KUNJ ENTERPRISES DISTRIBUTOR,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,NO,NO,NO,LIST PENDING
319,359,DIVYA AND COMPANAY DISTRIBUTOR,Distributor,DONE,TELECOM,OK,D,0.0,ARCHNA,GURKARAN,NO,NO,NO,LIST PENDING
320,416,OMDEV ENTERPRISES SAMSUNG,Samsung Cafe,,TELECOM,,B,204.0,RIYA ARORA,KANIKA,,,,
321,418,GIZMO SAMSUNG,Samsung Cafe,,TELECOM,,B,204.0,RIYA ARORA,KANIKA,,,,
322,425,BURHANI ENTERPRISES SAMSUNG,Samsung Cafe,,TELECOM,,B,204.0,RIYA ARORA,KANIKA,,,,
323,380,KESHAV SALES,Samsung Cafe,,TELECOM,,B,205.0,RIYA ARORA,KANIKA,,,,
324,364,REAL ME HIMACHAL,Distributor,DONE,TELECOM,OK,B,0.0,ARCHNA,GURKARAN,NO,NO,NO,200
325,365,DDTPL VIVO DELHI,Distributor,DONE,TELECOM,OK,B,0.0,ARCHNA,GURKARAN,NO,NO,NO,70
326,437,ASHOKA TRADERS,Industry,,NON TELECOM,,,34.0,Deepika Bhatti,AMAN,,,,
327,368,SANT BAJAJ,Automobiles,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,,,,
328,375,LETS CONNECT,Samsung Cafe,,TELECOM,,B,205.0,RIYA ARORA,KANIKA,,,,
329,370,APORVA CAFE PUNE,Samsung Cafe,,TELECOM,,B,205.0,RIYA ARORA,KANIKA,,,,
330,402,AUDIO GALLERY,Samsung Cafe,,TELECOM,,B,205.0,RIYA ARORA,KANIKA,,,,
331,373,MEDICINE HOUSE,PHARMA,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,,,,
332,309,Bansal Inverter & Battery,Electronics,DONE,TELECOM,OK,B,301.0,RIYA ARORA,KANIKA,RITU,NO,NO,
333,310,Divya & Co Voltas Store,Electronics,DONE,TELECOM,OK,B,301.0,RIYA ARORA,KANIKA,NEHA,NO,NO,
334,377,EASY BREAZY TREVELS,VISA,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
335,311,Sodhi Electronics,Electronics,DONE,TELECOM,OK,B,301.0,RIYA ARORA,KANIKA,NEHA,NO,MUSKAN,
336,312,VIJAY ELECTRONICS,ELECTRONICS,DONE,TELECOM,OK,B,301.0,RIYA ARORA,KANIKA,,,,
337,274,Chilana Mobile Zone,Telecom,DONE,TELECOM,OK,C,84.0,POOJA,JAGRITI,,,,
338,390,JONNY MOBILE  BHIWANI,TELECOM,,TELECOM,,,84.0,POOJA,,,,,
339,382,SATGURU HOMEOPATHY,HOSPITAL,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,AMAN,,,,
340,313,GABA ELECTRONICS ,ELECTRONICS,DONE,TELECOM,OK,B,301.0,RIYA ARORA,KANIKA,,,,
341,314,Kunj Enterprises,Electronics,DONE,TELECOM,OK,B,302.0,RIYA ARORA,KANIKA,RITU,NO,MUSKAN,
342,318,Mehta Electronics,Electronics,DONE,TELECOM,OK,B,302.0,RIYA ARORA,KANIKA,NEHA,NO,MUSKAN,
343,391,ALINA ENTERPRISES,TELECOM,,TELECOM,,,84.0,POOJA,KANIKA,,,,
344,319,BHARAT AUTO STORE,ELECTRONICS,DONE,TELECOM,OK,B,302.0,RIYA ARORA,KANIKA,,,,
345,394,JP AGRO CHEMICALS,Industry,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,AMAN,,,,
346,300,NEW AGGARWAL MOBILE DELHI,Telecom,FINAL CALL,TELECOM,OK,C,85.0,POOJA,JAGRITI,,,,
347,322,SUDARSHAN ELECTRONICS RANIA,ELECTRONICS,DONE,TELECOM,OK,B,302.0,RIYA ARORA,KANIKA,,,,
348,301,KADYAN MOBILES,Telecom,DONE,TELECOM,OK,C,85.0,POOJA,JAGRITI,,,,
349,398,BRAR RESTAURENT,Restaurant,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,,,,
350,422,VINAYAK MOBILE NEW,TELECOM,,TELECOM,,,85.0,POOJA,,,,,
351,429,GUPTA  TELECOM DEHRADUN,TELECOM,,TELECOM,,,85.0,POOJA,,,,,
352,302,RANKAWAT SAMSUNG( JODHPUR),Telecom,DONE,TELECOM,OK,,86.0,POOJA,JAGRITI,,,,
353,303,SUKHIJA TRADERS,Telecom,DONE,TELECOM,OK,,86.0,POOJA,JAGRITI,,,,
354,433,VED WATCH,TELECOM,,TELECOM,,,86.0,POOJA,,,,,
355,304,BHAGWATI TELECOM,Telecom,DONE,TELECOM,OK,,87.0,POOJA,JAGRITI,,,,
356,305,DS MOBILE PLAZA,Telecom,DONE,TELECOM,OK,,87.0,POOJA,JAGRITI,,,,
357,406,RIMANS MUSTERD OIL,Industry,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
358,431,STAR MOBILE GAGRIYA,TELECOM,,TELECOM,,,87.0,POOJA,,,,,
359,410,HOTEL NAAZ,NON TELECOM,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,Nidhi ,,,,
360,324,Bansal Dabwali,Electronics,DONE,TELECOM,OK,B,303.0,RIYA ARORA,KANIKA,NO,NO,NO,
361,327,Arora IT Solution,Laptop,,TELECOM,OK,B,303.0,RIYA ARORA,KANIKA,NEHA,,,
362,440,BALAJI MOBILE WORLD ANUPGARH,TELECOM,,TELECOM,,,87.0,POOJA,,,,,
363,333,KBM Electronics,Electronics,DONE,TELECOM,OK,B,303.0,RIYA ARORA,KANIKA,NEHA,NEHA,MUSKAN,
364,415,PUNJAB BATTERY,BATTERY,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
365,306,GOEL MOBILE HUB,Telecom,DONE,TELECOM,OK,D,88.0,POOJA,JAGRITI,,,,
366,308,MANISHA COMMUNICATION,Telecom,DONE,TELECOM,OK,D,88.0,POOJA,JAGRITI,,,,
367,334,PAWAN ELECTRONICS,Electronics,DONE,TELECOM,OK,B,303.0,RIYA ARORA,KANIKA,NEHA,NEHA,NEELAM,
368,419,SOLAR IMPACT,SOLAR,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
369,351,SAI KRIPA ELECTRONICS,ELECTRONICS,DONE,TELECOM,OK,,303.0,RIYA ARORA,KANIKA,,,,
370,315,SHRI GANESHA ENTERPRISES,TELECOM,DONE,TELECOM,OK,,88.0,POOJA,JAGRITI,,,,
371,316,STAR GIFT AND COMMUNICATION,Telecom,DONE,TELECOM,OK,C,89.0,POOJA,JAGRITI,,,,
372,317,TAYAL MOBILE ,Telecom,DONE,TELECOM,OK,C,89.0,POOJA,JAGRITI,,,,
373,335,NEW STAR COMUNICATION,PHONLO,,TELECOM,OK,,500.0,RIYA ARORA,KANIKA,,,,
374,432,MUMAL ENTERPRISE,TELECOM,,TELECOM,,,89.0,POOJA,,,,,
375,426,THE LIGHT HOUSE,Lighting Company ,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,,,,
376,427,REVOLET UNISEX SALON,SALON,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
377,428,SIDDHARTHA PALACE,RESORT,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
378,445,JEET MOBILES KALANWALI,TELECOM,,TELECOM,,,89.0,POOJA,,,,,
379,430,KAN FUTURE MAKING,IMMIGRATION,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,AMAN,,,,
380,320,DAHIYA ENTERPRISES,Telecom,DONE,TELECOM,OK,C,90.0,POOJA,JAGRITI,,,,
381,321,SHRI RAM TELECOM GOHANA,TELECOM,DONE,TELECOM,OK,,90.0,POOJA,JAGRITI,,,,
382,441,NATIONAL MOBILE,TELECOM,,TELECOM,,,90.0,POOJA,,,,,
383,434,VIJAY CREAM DAIRY,SWEETS,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
384,435,ANAYA SOLAR,SOLAR,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,AMAN,,,,
385,436,BANKU RASOI,RESTAURATANT,DONE,NON TELECOM,OK,B,0.0,Deepika Bhatti,Nidhi ,,,,
386,454,MOBILE POINT SIVAH,TELECOM,,TELECOM,,,90.0,POOJA,,,,,
387,438,RAMDEV TRADERS,Industry,DONE,NON TELECOM,OK,D,0.0,Deepika Bhatti,AMAN,,,,
388,325,KAMAL ENTERPRISES,Telecom,DONE,TELECOM,NEW,,91.0,POOJA,JAGRITI,,,,
389,341,Hyfly Communications,PHONLO,,TELECOM,OK,B,500.0,RIYA ARORA,KANIKA,,,,
390,342,SMILE TALK,PHONLO,,TELECOM,OK,,500.0,RIYA ARORA,KANIKA,,,,
391,442,GOYAL PROPERTIES,Real Estate,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,AMAN,,,,
392,443,SCIENCE KARI,SCHOOL,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Nidhi ,,,,
393,444,WADHWA DECORATION,DÉCOR,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,Aman,,,,
394,331,DUGGAL COMMUNICATION,Telecom,DONE,TELECOM,NEW,,91.0,POOJA,JAGRITI,,,,
395,446,SHREE BALA JI FURNITURE,FURNITURE,DONE,NON TELECOM,OK,A,0.0,Deepika Bhatti,nidhi,,,,
396,447,ANIL TRADING COMPANY,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,,,,
397,448,HIMANSHU TILES ,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,,,,
398,449,SHRI SHYAM TILES,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,,,,
399,450,NANDINI ALLOYS,Festival,DONE,NON TELECOM,OK,C,0.0,Deepika Bhatti,AMAN,,,,
400,347,Mobile Planet Delhi,Telecom,FINAL CALL,TELECOM,FINAL CALL,B,501.0,RIYA ARORA,KANIKA,RITU,NO,NEELAM (SATISH SIR NE BAAT KARNI H),
401,389,RAJESH ELECTRONICS,ELECTRONICS,DONE,TELECOM,OK,B,34.0,RIYA ARORA,KANIKA,,,,
402,459,AP ENTERPRISES,TELECOM,,TELECOM,,,91.0,POOJA,,,,,
403,439,PUNJAB RADIO,ELECTRONICS,DONE,TELECOM,OK,,34.0,RIYA ARORA,KANIKA,,,,
404,455,AADIL ENTERPRISES,ELECTRONICS,,TELECOM,,,34.0,RIYA ARORA,KANIKA,,,,
405,457,ARDAS TELEVENTURE,Distributor,DONE,TELECOM,OK,A,0.0,ARCHNA,GURKARAN,NO,NO,NO,825
406,456,SUNVIEW ELECTRONICS,ELECTRONICS,,TELECOM,,,34.0,RIYA ARORA,KANIKA,,,,
407,451,AHUJA COMPLEX KHARIAN,ELECTRONICS,DONE,TELECOM,OK,,34.0,RIYA ARORA,KANIKA,,,,
408,421,1GUPTA TELECOM DELHI,Telecom and Electronics,,TELECOM,,,91.0,POOJA,JAGRITI,,,,
